feature_name,importance_gain
pressure_620001_rolling_mean,45885.5546875
ne_ahead_publish_lag7,45866.453125
wind_ahead_publish,45081.515625
rainfall_620001,44884.171875
solartotal_620001_rolling_mean,44547.6328125
hydro_ahead_publish_diff7,44072.88671875
jingjiakongjian_diff7,44014.8359375
wind_ahead_publish_diff1,43987.88671875
load_ahead_publish_lag1,43834.3359375
pressure_620001_diff7,43514.8984375
windspeed_620001_lag7,43361.87109375
winddirection_620001_lag1,43276.8515625
sdsurplus_lag7,43093.671875
solartotal_620000_lag1,41909.98046875
gen_ahead_publish_lag7,40745.73828125
temperature_620001_rolling_mean,39031.625
pressure_620002_diff7,38566.5078125
solartotal_620001,38521.4921875
windspeed_620000_rolling_mean,38347.1328125
jingjiakongjian_lag7,38267.63671875
rainfall_620001_diff7,37470.4609375
solartotal_620000,37021.109375
solartotal_620000_rolling_mean,36829.03515625
temperature_620000_rolling_std,35735.84375
feeltemp_620001_diff7,35380.28125
temperature_620000,34303.3203125
pressure_620000_rolling_std,33951.5703125
load_ahead_publish_xinjiang_rolling_std,33777.0234375
wind_ahead_publish_rolling_std,33254.58203125
rainfall_620002_rolling_std,33053.81640625
pressure_620000_diff7,32629.201171875
humidity_620001_diff7,32557.357421875
rainfall_620000_diff7,31655.955078125
ne_ahead_publish_diff1,31319.31640625
totalcloud_620000_diff7,31269.30859375
totalcloud_620001_rolling_std,31055.98046875
winddirection_620001_diff7,30530.697265625
feeltemp_620002_diff7,29564.94921875
feeltemp_620000_diff7,29525.892578125
windspeed_620002_diff7,28867.24609375
jingjiakongjian_rolling_std,28772.74609375
load_ahead_publish_diff7,28726.607421875
pressure_620002_rolling_std,28701.103515625
load_ahead_publish_ningxia_diff7,28666.142578125
humidity_620002_diff7,28660.265625
pressure_620001_rolling_std,28616.876953125
windspeed_620001_diff7,28304.78125
totalcloud_620001_diff7,28028.572265625
dg_ahead_publish_diff7,27246.98046875
totalcloud_620002_diff7,27239.8984375
ne_ahead_publish_rolling_std,26986.748046875
humidity_620000_diff7,26951.623046875
load_ahead_publish,26876.380859375
load_ahead_publish_ningxia_rolling_std,26799.75390625
solar_term_rolling_std,26683.58203125
solartotal_620002_rolling_std,26516.701171875
sdsurplus_rolling_std,25781.345703125
rainfall_620002_diff7,25741.595703125
dg_ahead_publish_rolling_std,25572.255859375
load_ahead_publish_shanxi_diff1,25480.1875
gen_ahead_publish_diff7,25126.9375
tieline_ahead_publish_diff7,24662.625
winddirection_620001_rolling_std,24121.666015625
dg_ahead_publish,24020.14453125
feeltemp_620000_rolling_std,23729.27734375
tieline_ahead_publish_rolling_std,23282.015625
feeltemp_620002_rolling_std,22718.361328125
windspeed_620000_diff7,22589.548828125
windspeed_620001_rolling_std,22207.048828125
winddirection_620000_diff7,22107.052734375
totalcloud_620000_rolling_std,21666.259765625
windspeed_620002_rolling_std,21342.556640625
load_ahead_publish_shanxi_rolling_std,20936.216796875
feeltemp_620000_diff1,20934.47265625
sdsurplus_diff1,20865.12890625
windspeed_620000_rolling_std,20729.599609375
humidity_620001_rolling_std,20387.3515625
load_ahead_publish_xinjiang_diff1,20373.35546875
hydro_ahead_publish_rolling_std,20371.060546875
feeltemp_620001_rolling_std,20350.044921875
winddirection_620002_diff7,20308.15625
temperature_620002_rolling_std,19025.01953125
winddirection_620000_diff1,18737.14453125
winddirection_620000_rolling_std,18450.51171875
solartotal_620002_diff1,18311.947265625
totalcloud_620002_rolling_std,17837.56640625
humidity_620002_rolling_std,17779.775390625
humidity_620000_rolling_std,17565.072265625
feeltemp_620001_diff1,17170.798828125
time_order_rolling_std,16727.017578125
load_ahead_publish_ningxia_diff1,16649.7734375
winddirection_620002_rolling_std,15537.2763671875
jingjiakongjian_diff1,15218.7626953125
feeltemp_620002_diff1,14735.6591796875
rainfall_620000_diff1,14660.3134765625
load_ahead_publish_rolling_std,14479.712890625
gen_ahead_publish_rolling_std,14289.8623046875
tieline_ahead_publish_diff1,13982.9228515625
temperature_620002_diff1,13646.8310546875
windspeed_620002_diff1,13393.19921875
totalcloud_620002_diff1,13309.22265625
totalcloud_620001_diff1,13244.95703125
humidity_620000_diff1,13008.48828125
rainfall_620001_diff1,12754.8291015625
rainfall_620002_diff1,11904.873046875
pressure_620001_diff1,11592.30078125
solar_term_diff1,10775.6015625
hydro_ahead_publish_diff1,10748.4638671875
winddirection_620002_diff1,10502.2919921875
humidity_620001_diff1,10463.1572265625
dg_ahead_publish_diff1,10455.9697265625
solar_term_diff7,10132.0673828125
pressure_620000_diff1,10131.8759765625
time_order_diff1,9787.21875
gen_ahead_publish_diff1,9752.4443359375
humidity_620002_diff1,9736.8916015625
solartotal_620000_diff1,9116.5380859375
windspeed_620000_diff1,8566.634765625
temperature_620001_diff1,8224.69140625
temperature_620000_diff1,8047.455078125
pressure_620002_diff1,7880.14013671875
totalcloud_620000_diff1,7103.900390625
windspeed_620001_diff1,7033.06982421875
load_ahead_publish_diff1,6753.7958984375
solartotal_620001_diff1,6451.7548828125
winddirection_620001_diff1,6253.6357421875
time_order_diff7,0.0
