feature_name,importance_gain
pv_ahead_publish,134.46182250976562
load_ahead_publish_shanxi,70.30081176757812
jingjiakongjian,64.51959228515625
ne_ahead_publish,58.24031066894531
solartotal_620002,53.69453430175781
temperature_620002,53.183231353759766
load_ahead_publish_ningxia,52.75673294067383
pressure_620000,50.99735641479492
solar_term,48.1336669921875
solartotal_620000,47.55172348022461
tieline_gansu_hunan_ahead_publish,45.80621337890625
winddirection_620000,44.48570251464844
tieline_ahead_publish,44.08131408691406
feeltemp_620002,42.16912078857422
totalcloud_620001,41.46161651611328
totalcloud_620000,40.77955627441406
windspeed_620002,40.561912536621094
temperature_620000,40.244197845458984
sdsurplus,39.81017303466797
tieline_gansu_xinjiang_ahead_publish,39.714385986328125
gen_ahead_publish,39.42002868652344
huodian_kaiji,38.90721130371094
tieline_gansu_shandong_ahead_publish,38.60575485229492
humidity_620000,38.28549575805664
feeltemp_620001,37.991024017333984
load_ahead_publish_xinjiang,36.924556732177734
wind_ahead_publish,36.914363861083984
winddirection_620002,36.36237335205078
temperature_620001,35.33033752441406
time_order,35.32830810546875
pressure_620002,34.78742599487305
hydro_ahead_publish,34.76006317138672
feeltemp_620000,33.76498031616211
windspeed_620001,33.35441970825195
pressure_620001,33.000770568847656
dg_ahead_publish,32.95315170288086
tieline_gansu_shanxi_ahead_publish,31.8806095123291
rainfall_620000,31.291643142700195
windspeed_620000,30.31363868713379
humidity_620001,30.21644401550293
winddirection_620001,28.516775131225586
totalcloud_620002,28.245269775390625
humidity_620002,28.198162078857422
rainfall_620001,28.18941879272461
load_ahead_publish,28.069974899291992
tieline_gansu_ningxia_ahead_publish,27.122312545776367
tieline_gansu_qinghai_ahead_publish,24.256418228149414
rainfall_620002,23.013324737548828
solartotal_620001,9.76715087890625
