,price_real_clear,info_date,info_hour
0,600.0,2024-08-31,24:00
1,500.0,2024-09-01,00:15
2,500.0,2024-09-01,00:30
3,600.0,2024-09-01,00:45
4,550.0,2024-09-01,01:00
5,600.0,2024-09-01,01:15
6,600.0,2024-09-01,01:30
7,600.0,2024-09-01,01:45
8,600.0,2024-09-01,02:00
9,600.0,2024-09-01,02:15
10,600.0,2024-09-01,02:30
11,600.0,2024-09-01,02:45
12,600.0,2024-09-01,03:00
13,600.0,2024-09-01,03:15
14,600.0,2024-09-01,03:30
15,600.0,2024-09-01,03:45
16,600.0,2024-09-01,04:00
17,600.0,2024-09-01,04:15
18,600.0,2024-09-01,04:30
19,600.0,2024-09-01,04:45
20,600.0,2024-09-01,05:00
21,600.0,2024-09-01,05:15
22,600.0,2024-09-01,05:30
23,600.0,2024-09-01,05:45
24,600.0,2024-09-01,06:00
25,600.0,2024-09-01,06:15
26,600.0,2024-09-01,06:30
27,600.0,2024-09-01,06:45
28,600.0,2024-09-01,07:00
29,400.0,2024-09-01,07:15
30,380.0,2024-09-01,07:30
31,420.0,2024-09-01,07:45
32,400.0,2024-09-01,08:00
33,550.0,2024-09-01,08:15
34,430.0,2024-09-01,08:30
35,40.0,2024-09-01,08:45
36,40.0,2024-09-01,09:00
37,40.0,2024-09-01,09:15
38,40.0,2024-09-01,09:30
39,550.0,2024-09-01,09:45
40,600.0,2024-09-01,10:00
41,40.0,2024-09-01,10:15
42,40.0,2024-09-01,10:30
43,335.95,2024-09-01,10:45
44,547.62,2024-09-01,11:00
45,40.0,2024-09-01,11:15
46,202.84,2024-09-01,11:30
47,210.93,2024-09-01,11:45
48,176.74,2024-09-01,12:00
49,40.0,2024-09-01,12:15
50,40.0,2024-09-01,12:30
51,40.0,2024-09-01,12:45
52,40.0,2024-09-01,13:00
53,40.0,2024-09-01,13:15
54,40.0,2024-09-01,13:30
55,40.0,2024-09-01,13:45
56,40.0,2024-09-01,14:00
57,40.0,2024-09-01,14:15
58,40.0,2024-09-01,14:30
59,40.0,2024-09-01,14:45
60,40.0,2024-09-01,15:00
61,40.0,2024-09-01,15:15
62,40.0,2024-09-01,15:30
63,40.0,2024-09-01,15:45
64,40.0,2024-09-01,16:00
65,40.0,2024-09-01,16:15
66,40.0,2024-09-01,16:30
67,258.38,2024-09-01,16:45
68,271.89,2024-09-01,17:00
69,40.0,2024-09-01,17:15
70,40.0,2024-09-01,17:30
71,40.0,2024-09-01,17:45
72,40.0,2024-09-01,18:00
73,298.89,2024-09-01,18:15
74,318.97,2024-09-01,18:30
75,265.26,2024-09-01,18:45
76,329.95,2024-09-01,19:00
77,366.46,2024-09-01,19:15
78,320.0,2024-09-01,19:30
79,40.0,2024-09-01,19:45
80,40.0,2024-09-01,20:00
81,40.0,2024-09-01,20:15
82,40.0,2024-09-01,20:30
83,40.0,2024-09-01,20:45
84,40.0,2024-09-01,21:00
85,40.0,2024-09-01,21:15
86,40.0,2024-09-01,21:30
87,40.0,2024-09-01,21:45
88,40.0,2024-09-01,22:00
89,40.0,2024-09-01,22:15
90,40.0,2024-09-01,22:30
91,40.0,2024-09-01,22:45
92,40.0,2024-09-01,23:00
93,320.0,2024-09-01,23:15
94,450.0,2024-09-01,23:30
95,420.0,2024-09-01,23:45
96,450.0,2024-09-01,24:00
97,330.0,2024-09-02,00:15
98,330.0,2024-09-02,00:30
99,390.0,2024-09-02,00:45
100,390.0,2024-09-02,01:00
101,390.0,2024-09-02,01:15
102,430.0,2024-09-02,01:30
103,430.0,2024-09-02,01:45
104,390.0,2024-09-02,02:00
105,430.0,2024-09-02,02:15
106,430.0,2024-09-02,02:30
107,500.0,2024-09-02,02:45
108,600.0,2024-09-02,03:00
109,550.0,2024-09-02,03:15
110,500.0,2024-09-02,03:30
111,480.0,2024-09-02,03:45
112,370.0,2024-09-02,04:00
113,360.0,2024-09-02,04:15
114,360.0,2024-09-02,04:30
115,360.0,2024-09-02,04:45
116,360.0,2024-09-02,05:00
117,330.0,2024-09-02,05:15
118,400.0,2024-09-02,05:30
119,390.0,2024-09-02,05:45
120,330.0,2024-09-02,06:00
121,320.0,2024-09-02,06:15
122,380.0,2024-09-02,06:30
123,400.0,2024-09-02,06:45
124,370.0,2024-09-02,07:00
125,270.0,2024-09-02,07:15
126,40.0,2024-09-02,07:30
127,40.0,2024-09-02,07:45
128,40.0,2024-09-02,08:00
129,40.0,2024-09-02,08:15
130,40.0,2024-09-02,08:30
131,40.0,2024-09-02,08:45
132,40.0,2024-09-02,09:00
133,40.0,2024-09-02,09:15
134,40.0,2024-09-02,09:30
135,40.0,2024-09-02,09:45
136,40.0,2024-09-02,10:00
137,40.0,2024-09-02,10:15
138,40.0,2024-09-02,10:30
139,40.0,2024-09-02,10:45
140,40.0,2024-09-02,11:00
141,40.0,2024-09-02,11:15
142,40.0,2024-09-02,11:30
143,40.0,2024-09-02,11:45
144,40.0,2024-09-02,12:00
145,40.0,2024-09-02,12:15
146,40.0,2024-09-02,12:30
147,40.0,2024-09-02,12:45
148,40.0,2024-09-02,13:00
149,40.0,2024-09-02,13:15
150,40.0,2024-09-02,13:30
151,40.0,2024-09-02,13:45
152,40.0,2024-09-02,14:00
153,40.0,2024-09-02,14:15
154,40.0,2024-09-02,14:30
155,40.0,2024-09-02,14:45
156,40.0,2024-09-02,15:00
157,40.0,2024-09-02,15:15
158,40.0,2024-09-02,15:30
159,40.0,2024-09-02,15:45
160,40.0,2024-09-02,16:00
161,40.0,2024-09-02,16:15
162,40.0,2024-09-02,16:30
163,40.0,2024-09-02,16:45
164,173.05,2024-09-02,17:00
165,295.84,2024-09-02,17:15
166,304.39,2024-09-02,17:30
167,389.43,2024-09-02,17:45
168,401.71,2024-09-02,18:00
169,40.0,2024-09-02,18:15
170,40.0,2024-09-02,18:30
171,404.31,2024-09-02,18:45
172,40.0,2024-09-02,19:00
173,268.15,2024-09-02,19:15
174,40.0,2024-09-02,19:30
175,290.2,2024-09-02,19:45
176,40.0,2024-09-02,20:00
177,40.0,2024-09-02,20:15
178,241.58,2024-09-02,20:30
179,40.0,2024-09-02,20:45
180,40.0,2024-09-02,21:00
181,40.0,2024-09-02,21:15
182,40.0,2024-09-02,21:30
183,40.0,2024-09-02,21:45
184,40.0,2024-09-02,22:00
185,40.0,2024-09-02,22:15
186,40.0,2024-09-02,22:30
187,40.0,2024-09-02,22:45
188,40.0,2024-09-02,23:00
189,40.0,2024-09-02,23:15
190,40.0,2024-09-02,23:30
191,40.0,2024-09-02,23:45
192,40.0,2024-09-02,24:00
193,40.0,2024-09-03,00:15
194,40.0,2024-09-03,00:30
195,40.0,2024-09-03,00:45
196,40.0,2024-09-03,01:00
197,40.0,2024-09-03,01:15
198,40.0,2024-09-03,01:30
199,40.0,2024-09-03,01:45
200,171.39,2024-09-03,02:00
201,40.0,2024-09-03,02:15
202,40.0,2024-09-03,02:30
203,40.0,2024-09-03,02:45
204,40.0,2024-09-03,03:00
205,40.0,2024-09-03,03:15
206,40.0,2024-09-03,03:30
207,253.98,2024-09-03,03:45
208,40.0,2024-09-03,04:00
209,40.0,2024-09-03,04:15
210,249.04,2024-09-03,04:30
211,252.66,2024-09-03,04:45
212,228.15,2024-09-03,05:00
213,235.65,2024-09-03,05:15
214,229.18,2024-09-03,05:30
215,235.66,2024-09-03,05:45
216,207.64,2024-09-03,06:00
217,40.0,2024-09-03,06:15
218,40.0,2024-09-03,06:30
219,40.0,2024-09-03,06:45
220,433.83,2024-09-03,07:00
221,408.62,2024-09-03,07:15
222,338.31,2024-09-03,07:30
223,293.51,2024-09-03,07:45
224,334.8,2024-09-03,08:00
225,40.0,2024-09-03,08:15
226,40.0,2024-09-03,08:30
227,40.0,2024-09-03,08:45
228,40.0,2024-09-03,09:00
229,40.0,2024-09-03,09:15
230,40.0,2024-09-03,09:30
231,40.0,2024-09-03,09:45
232,40.0,2024-09-03,10:00
233,40.0,2024-09-03,10:15
234,40.0,2024-09-03,10:30
235,40.0,2024-09-03,10:45
236,40.0,2024-09-03,11:00
237,40.0,2024-09-03,11:15
238,40.0,2024-09-03,11:30
239,40.0,2024-09-03,11:45
240,40.0,2024-09-03,12:00
241,40.0,2024-09-03,12:15
242,40.0,2024-09-03,12:30
243,40.0,2024-09-03,12:45
244,40.0,2024-09-03,13:00
245,40.0,2024-09-03,13:15
246,40.0,2024-09-03,13:30
247,40.0,2024-09-03,13:45
248,40.0,2024-09-03,14:00
249,40.0,2024-09-03,14:15
250,40.0,2024-09-03,14:30
251,40.0,2024-09-03,14:45
252,40.0,2024-09-03,15:00
253,40.0,2024-09-03,15:15
254,40.0,2024-09-03,15:30
255,40.0,2024-09-03,15:45
256,40.0,2024-09-03,16:00
257,40.0,2024-09-03,16:15
258,40.0,2024-09-03,16:30
259,40.0,2024-09-03,16:45
260,40.0,2024-09-03,17:00
261,40.0,2024-09-03,17:15
262,40.0,2024-09-03,17:30
263,40.0,2024-09-03,17:45
264,40.0,2024-09-03,18:00
265,40.0,2024-09-03,18:15
266,40.0,2024-09-03,18:30
267,40.0,2024-09-03,18:45
268,40.0,2024-09-03,19:00
269,40.0,2024-09-03,19:15
270,40.0,2024-09-03,19:30
271,40.0,2024-09-03,19:45
272,40.0,2024-09-03,20:00
273,40.0,2024-09-03,20:15
274,40.0,2024-09-03,20:30
275,40.0,2024-09-03,20:45
276,40.0,2024-09-03,21:00
277,40.0,2024-09-03,21:15
278,40.0,2024-09-03,21:30
