info_date,count,rmse,mae,acc
2025-08-28,96,68.83184050153658,62.76537062644959,0.6438071626564887
2025-08-29,96,82.44228989111637,72.95663375695547,0.5987232156593418
2025-08-30,96,94.40079330831404,83.0665185133616,0.5715773091326491
2025-08-31,96,79.77619836165957,66.35197471141815,0.6120287502712756
2025-09-01,96,87.63453135498307,73.76524250030518,-0.7027619150740951
2025-09-02,96,103.96977317689125,85.47938585599263,0.34435753897608723
2025-09-03,96,95.16400848335374,79.87670696576437,0.37372580518671195
2025-09-04,96,73.99112612646746,63.183826510111494,0.36725215987871074
2025-09-05,96,89.57033291912938,73.51898017088573,0.44050058968467076
2025-09-06,96,74.88904511487131,60.650506741205845,0.7227244322215023
2025-09-07,96,74.4507881038841,64.03492648124696,0.7362883638419766
2025-09-08,96,83.75901962359767,69.38739004453022,0.6739606441761756
2025-09-09,96,93.06964804259657,78.84217306772867,0.45253005651284883
2025-09-10,96,68.37793925482889,57.06835108439128,0.6982436416737134
2025-09-11,96,77.75833063599903,63.9374795436859,0.7802289788416135
2025-09-12,96,86.39491733754669,75.09222853024801,0.6140335336160737
2025-09-13,96,111.7017092082678,94.43889064470926,0.42436443544658475
2025-09-14,96,157.84315608201948,133.14722150802615,-0.7504328468778216
2025-09-15,96,71.85370433200914,57.44709455808004,0.629688646784679
2025-09-16,96,78.05156879234309,66.07608444054921,0.36826664519234187
2025-09-17,96,111.67176395821548,86.06185675621032,0.5180489031420279
2025-09-18,96,104.33897904349291,92.9725592136383,0.522739364635218
2025-09-19,96,66.04206912205264,53.25402964274088,0.6321783047880742
2025-09-20,96,101.93363538062842,84.89434181213379,0.4297996277915056
2025-09-21,96,106.45592049955718,92.13951386133829,0.5477877692542856
2025-09-22,96,121.47806428124191,100.05382790883384,0.4645683381590253
2025-09-23,96,90.30371045717703,76.25519460042318,0.7245753243961621
2025-09-24,96,48.14867687544417,41.46924185117086,0.7833258559935514
2025-09-25,96,93.90455435392053,73.1641797542572,0.5586878272233841
2025-09-26,96,74.55706419596706,60.50382649739583,0.7908593400621622
