info_date,count,rmse,mae,acc
2025-08-28,96,80.71683148375823,73.63023747444153,0.5821491542464361
2025-08-29,96,78.12780322252344,74.40025777498882,0.590782980838706
2025-08-30,96,72.53349859213508,66.12621304194133,0.6589483869636451
2025-08-31,96,54.49481211611495,46.221390967369075,0.7297356876595832
2025-09-01,96,81.58022727134126,71.81570439974466,-0.6577597010624405
2025-09-02,96,79.80544516200516,72.96250923474629,0.44036426282073793
2025-09-03,96,81.3863870638397,70.3296711508433,0.44857944393781846
2025-09-04,96,69.57969002408139,61.09026003519694,0.3882179629697997
2025-09-05,96,52.1767836645738,44.24900393486022,0.663253059943844
2025-09-06,96,69.82745359196126,50.832855978012084,0.7676077289304826
2025-09-07,96,54.165680424145414,40.471299940745034,0.8333291953112247
2025-09-08,96,86.81522362072661,68.20685374259949,0.679507780264752
2025-09-09,96,73.86304269156379,66.05077109336852,0.5413519121713503
2025-09-10,96,51.77937998306799,40.18530631224315,0.7875149454891917
2025-09-11,96,70.74317534462513,53.68444411277772,0.8154715327036907
2025-09-12,96,54.04890398736502,45.50843627293904,0.7660912363008496
2025-09-13,96,83.30440685020395,69.69153936227163,0.5752075407543422
2025-09-14,96,121.73812238744912,103.2117630290985,-0.35688344183294474
2025-09-15,96,64.1822699895409,51.5367339960734,0.6677875904221915
2025-09-16,96,90.18106560774002,83.11289771715799,0.20538285300657322
2025-09-17,96,86.77325967660244,76.49162670771281,0.5716427139532693
2025-09-18,96,96.82916814623958,89.41995292981466,0.5409761341353725
2025-09-19,96,67.86577963936016,53.58617647171021,0.6298841908870163
2025-09-20,96,89.41924150532671,77.77463412920633,0.4776197755677226
2025-09-21,96,67.31425082381078,55.752827107111614,0.726370269823335
2025-09-22,96,76.0937913680659,66.15399292945862,0.6459811372343429
2025-09-23,96,83.95769597116607,66.71807333310444,0.7590222698798099
2025-09-24,96,37.92958669770787,24.707130619684857,0.8709068181885611
2025-09-25,96,74.01401557057956,56.06567704518636,0.6618226864825401
2025-09-26,96,73.78123717436145,58.19794687271118,0.7988299629857307
