,price_ahead_clear,info_date,info_hour
1,240.51,2024-09-02,00:15
2,310.34,2024-09-02,00:30
3,343.37,2024-09-02,00:45
4,350.0,2024-09-02,01:00
5,265.53,2024-09-02,01:15
6,265.98,2024-09-02,01:30
7,263.89,2024-09-02,01:45
8,314.18,2024-09-02,02:00
9,360.0,2024-09-02,02:15
10,360.0,2024-09-02,02:30
11,360.0,2024-09-02,02:45
12,360.0,2024-09-02,03:00
13,370.0,2024-09-02,03:15
14,370.0,2024-09-02,03:30
15,400.0,2024-09-02,03:45
16,400.0,2024-09-02,04:00
17,400.0,2024-09-02,04:15
18,400.0,2024-09-02,04:30
19,400.0,2024-09-02,04:45
20,400.0,2024-09-02,05:00
21,400.0,2024-09-02,05:15
22,400.0,2024-09-02,05:30
23,370.0,2024-09-02,05:45
24,360.0,2024-09-02,06:00
25,370.0,2024-09-02,06:15
26,390.0,2024-09-02,06:30
27,400.0,2024-09-02,06:45
28,400.0,2024-09-02,07:00
29,360.0,2024-09-02,07:15
30,350.0,2024-09-02,07:30
31,340.0,2024-09-02,07:45
32,170.0,2024-09-02,08:00
33,70.0,2024-09-02,08:15
34,70.0,2024-09-02,08:30
35,46.78,2024-09-02,08:45
36,45.3,2024-09-02,09:00
37,40.0,2024-09-02,09:15
38,40.0,2024-09-02,09:30
39,45.77,2024-09-02,09:45
40,45.67,2024-09-02,10:00
41,40.0,2024-09-02,10:15
42,40.0,2024-09-02,10:30
43,40.0,2024-09-02,10:45
44,40.0,2024-09-02,11:00
45,40.0,2024-09-02,11:15
46,40.0,2024-09-02,11:30
47,40.0,2024-09-02,11:45
48,40.0,2024-09-02,12:00
49,40.0,2024-09-02,12:15
50,40.0,2024-09-02,12:30
51,40.0,2024-09-02,12:45
52,40.0,2024-09-02,13:00
53,40.0,2024-09-02,13:15
54,40.0,2024-09-02,13:30
55,40.0,2024-09-02,13:45
56,40.0,2024-09-02,14:00
57,40.0,2024-09-02,14:15
58,40.0,2024-09-02,14:30
59,40.0,2024-09-02,14:45
60,40.0,2024-09-02,15:00
61,40.0,2024-09-02,15:15
62,40.0,2024-09-02,15:30
63,40.0,2024-09-02,15:45
64,44.59,2024-09-02,16:00
65,44.61,2024-09-02,16:15
66,40.0,2024-09-02,16:30
67,40.0,2024-09-02,16:45
68,40.0,2024-09-02,17:00
69,46.62,2024-09-02,17:15
70,52.74,2024-09-02,17:30
71,52.55,2024-09-02,17:45
72,76.1,2024-09-02,18:00
73,247.11,2024-09-02,18:15
74,275.82,2024-09-02,18:30
75,327.73,2024-09-02,18:45
76,256.24,2024-09-02,19:00
77,193.85,2024-09-02,19:15
78,208.27,2024-09-02,19:30
79,215.02,2024-09-02,19:45
80,195.63,2024-09-02,20:00
81,207.58,2024-09-02,20:15
82,121.24,2024-09-02,20:30
83,90.48,2024-09-02,20:45
84,52.5,2024-09-02,21:00
85,40.0,2024-09-02,21:15
86,40.0,2024-09-02,21:30
87,40.0,2024-09-02,21:45
88,40.0,2024-09-02,22:00
89,49.28,2024-09-02,22:15
90,40.0,2024-09-02,22:30
91,40.0,2024-09-02,22:45
92,40.0,2024-09-02,23:00
93,58.56,2024-09-02,23:15
94,95.87,2024-09-02,23:30
95,49.29,2024-09-02,23:45
96,49.29,2024-09-02,24:00
97,40.0,2024-09-03,00:15
98,45.75,2024-09-03,00:30
99,84.82,2024-09-03,00:45
100,97.68,2024-09-03,01:00
101,71.97,2024-09-03,01:15
102,71.85,2024-09-03,01:30
103,52.7,2024-09-03,01:45
104,71.98,2024-09-03,02:00
105,104.3,2024-09-03,02:15
106,79.33,2024-09-03,02:30
107,94.59,2024-09-03,02:45
108,106.27,2024-09-03,03:00
109,126.57,2024-09-03,03:15
110,133.9,2024-09-03,03:30
111,127.35,2024-09-03,03:45
112,135.24,2024-09-03,04:00
113,127.48,2024-09-03,04:15
114,128.6,2024-09-03,04:30
115,149.84,2024-09-03,04:45
116,151.69,2024-09-03,05:00
117,152.82,2024-09-03,05:15
118,150.68,2024-09-03,05:30
119,152.52,2024-09-03,05:45
120,153.07,2024-09-03,06:00
121,145.04,2024-09-03,06:15
122,173.88,2024-09-03,06:30
123,155.84,2024-09-03,06:45
124,372.16,2024-09-03,07:00
125,276.49,2024-09-03,07:15
126,263.13,2024-09-03,07:30
127,257.3,2024-09-03,07:45
128,492.61,2024-09-03,08:00
129,124.27,2024-09-03,08:15
130,107.15,2024-09-03,08:30
131,40.0,2024-09-03,08:45
132,40.0,2024-09-03,09:00
133,40.0,2024-09-03,09:15
134,40.0,2024-09-03,09:30
135,46.07,2024-09-03,09:45
136,46.08,2024-09-03,10:00
137,40.0,2024-09-03,10:15
138,40.0,2024-09-03,10:30
139,40.0,2024-09-03,10:45
140,40.0,2024-09-03,11:00
141,40.0,2024-09-03,11:15
