info_date,count,rmse,mae,acc
2025-08-28,89,57.65039724806801,52.682514329545945,0.6981191599328609
2025-08-29,96,69.47546002829468,63.9585523891449,0.6482145500394232
2025-08-30,96,83.69444086441021,75.28475702603659,0.6117124111659844
2025-08-31,96,62.99873288938918,55.3272166411082,0.6764923805565539
2025-09-01,96,86.98696076026096,83.05478904088338,-0.9171974069324651
2025-09-02,96,89.1805404847637,78.75347792943319,0.3959464780101002
2025-09-03,96,83.09807229479647,74.69570827484131,0.4143474821028278
2025-09-04,96,77.85316209770063,67.00021391868592,0.3290333462483729
2025-09-05,96,82.82767165298168,68.1474048837026,0.4813797367927739
2025-09-06,96,58.96240881252015,48.77028106371562,0.7770371906312319
2025-09-07,96,57.56126831544761,50.009372930526744,0.7940490559849681
2025-09-08,96,73.56144263901592,61.35582335154215,0.7116995882286525
2025-09-09,96,67.57124530662793,59.47136830012003,0.587038441794331
2025-09-10,96,45.87374978067414,38.595181887944534,0.7959229360206242
2025-09-11,96,63.69353864561622,48.70518762270609,0.8325866315665552
2025-09-12,96,78.96122221034122,66.73347414334616,0.6569966864912624
2025-09-13,96,121.81993921988685,108.398435754776,0.3392764957695602
2025-09-14,96,160.2911754411298,137.07725845336915,-0.8020994583223353
2025-09-15,96,66.86203969501283,52.857560497919714,0.65927337307101
2025-09-16,96,71.6625709612552,61.683728920618684,0.4102606209493379
2025-09-17,96,92.1245079314948,69.74561117172242,0.6094207692908551
2025-09-18,96,95.56215492546872,83.9043228785197,0.5692897906054417
2025-09-19,96,53.393842662813086,46.240499560038245,0.6806202450834068
2025-09-20,96,109.83073615326138,92.21699901262919,0.38061635159015916
2025-09-21,96,84.81812736904084,72.16641000747681,0.6458139197098112
2025-09-22,96,111.21287279284071,94.08269717852274,0.49652246242215015
2025-09-23,96,84.58425341266158,70.62826060612997,0.7448991394246771
2025-09-24,96,49.00663793905279,37.65967844963074,0.803230581814906
2025-09-25,96,75.74097202194172,59.01219683647156,0.6440498493429874
2025-09-26,96,78.10828230237459,68.56004623095195,0.7630117937296558
